Name,Skill,Recommended_Career
User1,Python,Software Developer
User2,Marketing,Civil Engineer
User3,Research,Data Scientist
User4,Marketing,Digital Marketer
User5,Marketing,Business Analyst
User6,Writing,Business Analyst
User7,Marketing,Teacher
User8,Design,Web Designer
User9,Marketing,Web Designer
User10,Research,Data Scientist
User11,Python,Business Analyst
User12,Marketing,Business Analyst
User13,Writing,Doctor
User14,Python,Civil Engineer
User15,Writing,Business Analyst
User16,Teaching,Graphic Designer
User17,SQL,Teacher
User18,Writing,Software Developer
User19,Design,Web Designer
User20,JavaScript,Doctor
User21,JavaScript,Graphic Designer
User22,Design,Graphic Designer
User23,Communication,Business Analyst
User24,Management,Digital Marketer
User25,JavaScript,Content Writer
User26,Writing,Software Developer
User27,Communication,Data Scientist
User28,Python,Data Scientist
User29,Python,Data Scientist
User30,Research,Doctor
User31,Management,Civil Engineer
User32,Research,Software Developer
User33,Communication,Civil Engineer
User34,Communication,Web Designer
User35,Research,Web Designer
User36,Communication,Digital Marketer
User37,Writing,Web Designer
User38,SQL,Graphic Designer
User39,SQL,Civil Engineer
User40,Communication,Graphic Designer
User41,Teaching,Civil Engineer
User42,Design,Digital Marketer
User43,Communication,Software Developer
User44,Management,Doctor
User45,SQL,Content Writer
User46,Marketing,Civil Engineer
User47,SQL,Data Scientist
User48,JavaScript,Graphic Designer
User49,Communication,Content Writer
User50,Management,Business Analyst
User51,Python,Content Writer
User52,Communication,Graphic Designer
User53,Communication,Civil Engineer
User54,Research,Teacher
User55,SQL,Business Analyst
User56,Writing,Digital Marketer
User57,Research,Teacher
User58,SQL,Data Scientist
User59,JavaScript,Software Developer
User60,Teaching,Digital Marketer
User61,Marketing,Civil Engineer
User62,Communication,Software Developer
User63,Python,Civil Engineer
User64,Teaching,Software Developer
User65,Management,Doctor
User66,Teaching,Digital Marketer
User67,Marketing,Civil Engineer
User68,Writing,Content Writer
User69,Design,Digital Marketer
User70,Marketing,Doctor
User71,Design,Software Developer
User72,Management,Graphic Designer
User73,Teaching,Web Designer
User74,Teaching,Content Writer
User75,Management,Civil Engineer
User76,Communication,Civil Engineer
User77,Python,Web Designer
User78,Marketing,Data Scientist
User79,Python,Teacher
User80,Marketing,Business Analyst
User81,SQL,Business Analyst
User82,Python,Data Scientist
User83,Management,Data Scientist
User84,Teaching,Data Scientist
User85,Python,Software Developer
User86,Communication,Data Scientist
User87,JavaScript,Business Analyst
User88,Teaching,Graphic Designer
User89,Design,Business Analyst
User90,SQL,Digital Marketer
User91,Management,Software Developer
User92,Design,Content Writer
User93,Marketing,Web Designer
User94,SQL,Civil Engineer
User95,Teaching,Web Designer
User96,Design,Teacher
User97,Teaching,Civil Engineer
User98,Research,Civil Engineer
User99,JavaScript,Teacher
User100,Teaching,Business Analyst
